"","address","availability","groups","languages","billing","zipcode"
"1905","Centro per l'età evolutiva Via san Bernardino 2 6500 Bellinzona Switzerland","Two to four weeks","Older adults Couples Teenagers Families Children Groups Young adults Adults Senior management","Italian","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6500
"1906","Cabinet de Psychothérapie et Guidance HPI 10 Rue du Pont 1003 Lausanne Switzerland","No date currently available","Adults Teams Young adults Families Couples Senior management","French English","Covered by basic insurance",1003
"1907","Freiestrasse 89 4051 Basel Switzerland","Two to four weeks","Adults Young adults Families Teenagers Children","English","Partially covered by supplementary insurance To be paid by yourself",4051
"1908","Rue des Moulins 18 1800 Vevey Switzerland","At least four weeks","Adults Young adults Couples Families Teenagers Children","French","Covered by basic insurance To be paid by yourself",1800
"1909","Praxiskollektiv Güterstrasse Güterstrasse 118 4053 Basel Switzerland","At least four weeks","Adults Young adults Couples","German","Covered by basic insurance",4053
"1910","Cabinet de psychothérapie Rue Beau-Séjour 24 1003 Lausanne Switzerland","At least four weeks","Families Teenagers Adults Children Young adults","French Italian English","Covered by basic insurance To be paid by yourself",1003
"1911","Via Mulini 26 6883 Novazzano Switzerland","At least four weeks","Couples Families Teenagers Adults Children Young adults Groups Older adults","French Italian","Covered by basic insurance To be paid by yourself",6883
"1912","Corso Pestalozzi 4 a 6900 Lugano Switzerland","Less than two weeks","Adults Young adults","German Italian English Greek","Covered by basic insurance",6900
"1913","Servizio di psichiatria e psicologia medica OSC Via Tesserete 67 6942 Savosa Switzerland","At least four weeks","Older adults Adults Young adults",NA,"Covered by basic insurance",6942
"1914","Centre de thérapies Le Botzet Rue du Botezt 9 1700 Fribourg Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance",1700
"1915","Avenue de la Gare 10 1003 Lausanne Switzerland","No date currently available","Couples Families Adults Children Groups Young adults Teams","French","Covered by basic insurance",1003
"1916","WePractice Bahnhofplatz 6 5400 Baden Switzerland","No date currently available","Adults","German","Covered by basic insurance",5400
"1917","Passage St-François 1 1003 Lausanne Switzerland","Less than two weeks","Adults Young adults","French","Covered by basic insurance",1003
"1918","Psychiatrische Praxisgemeinschaft Zürich Beckenhofstrasse 6 8006 Zürich Switzerland","At least four weeks","Families Teenagers Children Young adults","German Swiss German English","Covered by basic insurance",8006
"1919","Krisenintervention Schweiz Neumarkt 4 8400 8400 Winterthur Switzerland","Less than two weeks","Families Teenagers Teams Adults Groups Young adults Senior management","German Swiss German French English","Partially covered by supplementary insurance To be paid by yourself",8400
"1920","Seyon 6 2000 Neuchâtel Switzerland","At least four weeks","Adults Teenagers Children","French","Covered by basic insurance",2000
"1921","Rue Schaub, 12 1205 Genève Switzerland","Less than two weeks","Adults Young adults","French Italian","Covered by basic insurance",1205
"1922","Praxis am Zweierplatz Badenerstrasse 67 8004 Zürich Switzerland","No date currently available","Adults Young adults Couples","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8004
"1923","MonPsy Sàrl Valentin 61 1004 Lausanne Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance",1004
"1924","Psychotherapie & Forensik Zeughausgasse 20 3011 Bern Switzerland","No date currently available","Young adults Families Teenagers","German","Covered by basic insurance",3011
"1925","RFSM Fribourg - Consultation ambulatoire francophone Chemin du Cardinal-Journet 3 1752 Villars-sur-Glâne Switzerland","Two to four weeks","Teenagers Adults Young adults Senior management","French English","Covered by basic insurance",1752
"1926","Praxis Vanessa Glauser Ackeretstrasse 3 8400 Winterthur Switzerland","No date currently available","Teenagers Families Young adults Children","German Swiss German","Covered by basic insurance",8400
"1927","Centre Lavicennes Rue de la sionge 37 1630 Bulle Switzerland","At least four weeks","Adults Teenagers Families Couples Young adults Senior management Children","French","Covered by basic insurance",1630
"1928","15 rue des Voisins 1205 Genève Switzerland","No date currently available","Adults","French","Covered by basic insurance",1205
"1929","Centre NPSI Rue Giovanni-Gambini 1 1206 Genève Switzerland","At least four weeks","Older adults Adults Young adults Senior management","French Dutch English Portuguese Spanish","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1206
"1930","Studio di Psicoterapia Corso Elvezia 23 6900 Lugano Switzerland","At least four weeks","Adults Young adults Teenagers","Italian","Covered by basic insurance To be paid by yourself",6900
"1931","Le Kabinet Rue des Frères-Lumière 6 1723 Marly Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teenagers","French Danish English","Covered by basic insurance To be paid by yourself",1723
"1932","Praxis Batthyany Florastrasse 1 8008 Zürich Switzerland","Two to four weeks","Adults Young adults Teams Groups Senior management","German English","Covered by basic insurance",8008
"1933","Psychotherapie & Coaching Romana Bircher Florastrasse 1 8008 Zürich Switzerland","Two to four weeks","Older adults Adults Young adults Couples Senior management","German Swiss German Czech Slovakian","Covered by basic insurance To be paid by yourself",8008
"1934","Psychotherapie Praxis Dundure Im Städtli 4 8872 Weesen Switzerland","At least four weeks","Older adults Adults Young adults Couples Teenagers","German Swiss German English Latvian Russian","Covered by basic insurance To be paid by yourself",8872
"1935","Forchstrasse 70 8008 Zürich Switzerland","At least four weeks","Families Children Young adults Teenagers Adults","German French Italian English Spanish","Covered by basic insurance",8008
"1936","Praxisgemeinschaft am Martinskirchplatz Martinskirchplatz 2 4051 Basel Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",4051
"1937","Bleichemattweg 56 4410 Liestal Switzerland","No date currently available","Young adults Families Children","German Swiss German","Covered by basic insurance To be paid by yourself",4410
"1938","Cilgia Pfleiderer Psychotherapie / Praxis Z Bodmerstrasse 11 8002 Zürich Switzerland Cilgia Pfleiderer Psychotherapie Langstrasse 62 8004 Zürich Switzerland","Two to four weeks","Couples Adults Young adults Senior management","German Swiss German English Portuguese","Covered by basic insurance To be paid by yourself",8002
"1939","Via Lugano 13 World Trade Center- Torre centrale 6982 Agno Switzerland","Less than two weeks","Children Adults Young adults Teenagers Older adults","French Italian","Partially covered by supplementary insurance",6982
"1940","Psy Bern Neuengass-Passage 3 3011 Bern Switzerland","At least four weeks","Adults","German","Covered by basic insurance",3011
"1941","Psychotherapeutische Praxis Weinbergstrasse 108 8006 Zürich Switzerland","At least four weeks","Young adults Families Teenagers Children","German English","Covered by basic insurance",8006
"1942","Regard de vie Rue Beauregard 8 2000 Neuchâtel Switzerland","Less than two weeks","Adults Teenagers Young adults","French","Partially covered by supplementary insurance",2000
"1943","La consultation Place de la Concorde 9 1530 Payerne Switzerland","At least four weeks","Couples Families Teenagers Adults","French Portuguese","Covered by basic insurance",1530
"1944","Praxis für Psychotherapie, Turbinenweg 6, 8866 Ziegelbrücke Praxis für Psychotherapie, Turbinenweg 6 8866 Ziegelbrücke Switzerland","At least four weeks","Adults Young adults Families Teenagers Children",NA,"Covered by basic insurance",8866
"1945","Praxis für Psychotherapie und Beratung Limmattalstr. 177 8049 Zürich Switzerland","No date currently available","Older adults Adults Children","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8049
"1946","Praxiskollektiv Güterstrasse Güterstrasse 118 4053 Basel Switzerland","No date currently available","Adults Young adults Older adults","German Swiss German English","Covered by basic insurance To be paid by yourself",4053
"1947","Emil Frey-Strasse 70 4142 Münchenstein Switzerland","No date currently available","Older adults Adults Young adults","German English","Covered by basic insurance",4142
"1948","Surentalstrasse 10 6210 Sursee Switzerland","No date currently available","Couples Teams Adults Groups Senior management Young adults","German Swiss German English","Covered by basic insurance",6210
"1949","Zentrum für Schmerzmedizin Guido A. Zäch Strasse 1 6207 Nottwil Switzerland","No date currently available","Older adults Adults Young adults Couples","German Swiss German English","Covered by basic insurance",6207
"1950","lic. phil. Susanne Hostettler Villettemattstrasse 15 3007 Bern Switzerland","Two to four weeks","Adults Couples Families","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3007
"1951","Luzerner Psychiatrie Gütsch 1 6110 Wolhusen Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German","Covered by basic insurance",6110
"1952","Praxis für Psychotherapie Niederdorfstrasse 18 8001 Zürich Switzerland","Less than two weeks","Older adults Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",8001
"1953","Cabinet d'Assens Route Saint-Germain 3 1042 Assens Switzerland","No date currently available","Adults Couples Older adults Families Teenagers Young adults","French","Covered by basic insurance",1042
"1954","Psychotherapeutische Praxis Remo Hartmann Dufourstrasse 169 8008 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Couples Teenagers Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"1955","Centre Périnatal et Famille Boulevard St-Georges 72 Genève 1205 Switzerland","Less than two weeks","Adults Young adults Families Children","French","Covered by basic insurance",1205
"1956","Rue Hugo-de-Senger 1 1205 Genève Switzerland Avenue du Bois-de-la-Chapelle 98 1213 Onex Switzerland","Two to four weeks","Children Teenagers Young adults Adults Families","French","Covered by basic insurance",1205
"1957","3, Avenue Perdtemps (Rez-de-chaussée supérieur) 1260 Nyon Switzerland","At least four weeks","Adults","French","Covered by basic insurance",1260
"1958","Consultation Tissot Avenue Tissot 2bis 1006 Lausanne Switzerland","No date currently available","Adults Young adults Older adults","French","Covered by basic insurance",1006
"1959","Avenue de la Gare 5 1003 Lausanne Switzerland Groupe Vidymed Médecine du sport Route de Chavannes 9A 1007 Lausanne Switzerland","Two to four weeks","Adults Young adults Teenagers Teams Senior management","French","Partially covered by supplementary insurance To be paid by yourself",1003
"1960","chemin Guiguer de Prangins 21 1004 Lausanne Switzerland","No date currently available","Adults Young adults Groups","French","Covered by basic insurance",1004
"1961","Consultation de Sembrancher Gravenne 16 1933 Sembrancher Switzerland Consultation de Martigny Plaisance 7 1920 Martigny Switzerland","At least four weeks","Older adults Adults Young adults Senior management Teenagers","French Italian English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1933
"1962","Praxis zum Turm Hauptgasse 17 4600 Olten Switzerland","No date currently available","Adults Young adults Couples Families","German","Covered by basic insurance",4600
"1963","Via Campagna 5A 6512 Giubiasco Switzerland","Two to four weeks","Adults Young adults Couples","French Italian","Covered by basic insurance To be paid by yourself",6512
"1964","Centre Psyché & Soma Rue des Voisins 30 1205 Genève Switzerland","No date currently available","Adults Young adults","French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1205
"1965","Studio di Psicoterapia cognitiva Elena Micaela Cianitto Via Giovanni Nizzola 2 6900 Lugano Switzerland","Two to four weeks","Couples Teenagers Adults Young adults Senior management","Italian","Covered by basic insurance",6900
"1966","Psychotherapie am Graben Oberer Graben 28 8400 Winterthur Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8400
"1967","Praxisgemeinschaft Spektrum Vogelsangstrasse 52 8006 Zürich Switzerland","No date currently available","Older adults Adults Young adults Couples Teams Senior management","German English","Covered by basic insurance To be paid by yourself",8006
"1968","Langstrasse 21 8004 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German Portuguese","Covered by basic insurance To be paid by yourself",8004
"1969","PsychArter Praxis für Psychotherapie, Psychotraumatologie & Psychoanalyse Feldeggstrasse 30 8008 Zürich Switzerland","No date currently available","Older adults Adults Young adults Senior management","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"1970","Psychotherapeutische Praxis Ferrari GmbH Sandbühlstrasse 11A 8620 Wetzikon Switzerland","At least four weeks","Adults Young adults Families Children Teenagers","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8620
"1971","Schulpsychologischer Dienst Basel-Stadt Austrasse 67 4051 Basel Switzerland","Two to four weeks","Young adults Families Teenagers Children","German Swiss German","To be paid by yourself",4051
"1972","Praxis für Psychotherapie Mühlegasse 2 4410 Liestal Switzerland","No date currently available","Families Couples Young adults Children","German English","Covered by basic insurance To be paid by yourself",4410
"1973","Psychotherapie Manuela Wyss Zentrum Bauchgefühl Solothurnstrasse 37a 4702 Oensingen Switzerland","No date currently available","Adults Young adults","German Swiss German","Covered by basic insurance",4702
"1974","Psychotherapie Tschuy Mattenhofstrasse 5 3007 Bern Switzerland","No date currently available","Adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3007
"1975","LiberaMENTE Studio di Psicologia e Psicoterapia Sagl Piazza Governo 5 6500 Bellinzona Switzerland","Less than two weeks","Couples Families Teenagers Adults","Italian","Covered by basic insurance To be paid by yourself",6500
"1976","Praxis Roland Sanwald Mattenhofstrasse 5 2. Stock 3007 Bern Switzerland","No date currently available","Older adults Adults Young adults Couples Families Teenagers Groups","German Swiss German English","Covered by basic insurance To be paid by yourself",3007
"1977","Psychênn Rue du Petit-Chêne 14 1003 Lausanne Switzerland","Two to four weeks","Couples Families Adults Young adults","French Italian English Spanish","Covered by basic insurance",1003
"1978","Via Boschina 4 6963 Pregassona Switzerland","Two to four weeks","Adults Young adults Couples Families Teenagers Children","Italian","Covered by basic insurance",6963
"1979","Studio di psicoterapia Serena Märki Via San Gottardo 25 6600 Muralto Switzerland","Two to four weeks","Adults Young adults Couples","Italian","Covered by basic insurance To be paid by yourself",6600
"1980","Studio Dedalo Psicoterapia 6850 Mendrisio Switzerland","Two to four weeks","Families Teenagers Children","Italian","Covered by basic insurance",6850
"1981","Studio di psicologia e psicoterapia L'ARCA Viale Stazione 4 6500 Bellinzona Switzerland","Less than two weeks","Adults Young adults Couples Families Teenagers Children Groups Senior management","French Italian","Covered by basic insurance",6500
"1982","Centre médical de Vésenaz 42 route de Thonon 1222 Vésenaz Switzerland","Two to four weeks","Adults Older adults Young adults","French","Covered by basic insurance",1222
"1983","Cabinet Quarante-Six Grand’Rue 46 1820 Montreux Switzerland","At least four weeks","Young adults Families Teenagers Children","French English","Covered by basic insurance",1820
"1984","Psychotherapie Buchholz Inselstrasse 2A 8610 Uster Switzerland","At least four weeks","Adults","German English","Covered by basic insurance",8610
"1985","Psychotherapie Katja Näf (Praxisgemeinschaft Kronenmatt) Hauptstrasse 62 4102 Binningen Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German English","Covered by basic insurance To be paid by yourself",4102
"1986","Praxis beim Zolli Oberwilerstrasse 159 4054 Basel Switzerland","No date currently available","Adults Young adults Families Couples","German English","Covered by basic insurance To be paid by yourself",4054
"1987","Praxis für Psychotherapie Ausstellungsstrasse 39 8005 Zürich Switzerland","No date currently available","Adults Young adults Families Teenagers Children","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8005
"1988","Studio Medico RETE OPERATIVA Via Generale Guisan 16 6932 Breganzona Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Children","Italian English","Covered by basic insurance",6932
"1989","Dipl.-Psych. Anja Englhardt Friesenbergstrasse 9 Praxis für Psychotherapie 8055 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Teams",NA,"Covered by basic insurance To be paid by yourself",8055
"1990","Inselspital Universitäre Neurorehabilitation Ambulatorium 3010 Bern Switzerland","At least four weeks","Adults Young adults Teenagers","German","Covered by basic insurance",3010
"1991","Burkhardpsy Place de la Gare 1 2502 Bienne Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Children","French","Covered by basic insurance",2502
"1992","Praxis Z Steinwiesstrasse 26 8032 Zürich Switzerland","No date currently available","Older adults Adults Young adults Couples","German Swiss German English","Covered by basic insurance To be paid by yourself",8032
"1993","Resalio Therapie Mittelstrasse 14C 2502 Bienne Switzerland","At least four weeks","Adults Young adults Couples Families Teenagers Children","German French Italian English Spanish","Covered by basic insurance",2502
"1994","Aepsy (online) Bâtiment des Cèdres 1 1009 Prilly Switzerland","Less than two weeks","Teenagers Adults Young adults Senior management Couples","German Swiss German French English Spanish","Partially covered by supplementary insurance To be paid by yourself",1009
"1995","PsyPépinet Petit-Saint-Jean 4 1003 Lausanne Switzerland Route de l'Ancienne Poste 1 1073 Savigny Switzerland","Two to four weeks","Adults Young adults Teenagers Couples","French Portuguese","Partially covered by supplementary insurance Covered by basic insurance",1003
"1996","Direction des ressources humaines - CHUV Avenue de Crousaz 10 1010 Lausanne Switzerland","No date currently available","Adults Senior management","French Italian English","To be paid by yourself",1010
"1997","Praxis für Psychotherapie Gartenstrasse Gartenstrasse 11 8002 Zürich Switzerland","At least four weeks","Adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8002
"1998","Espace Psy Rue Pépinet 3 1003 Lausanne Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance To be paid by yourself",1003
"1999","Hallerstr. 10 3012 Bern Switzerland","No date currently available","Adults Young adults Families Children","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3012
"2000","Praxis für Psychotherapie Julia Dürsteler Baslerstrasse 114 4123 Allschwil Switzerland","No date currently available","Adults","German Swiss German Polish Spanish","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4123
"2001","Association Eliézer Avenue de la Gare 5 1920 Martigny Switzerland","Less than two weeks","Older adults Adults Young adults Families Teenagers Children Teams Groups","French English Portuguese","Partially covered by supplementary insurance To be paid by yourself",1920
"2002","lic. phil. Irena Jurcevic Industriestrasse 7 6300 Zug Switzerland lic. phil. Irena Jurcevic Industriestrasse 7 6300 Zug Switzerland","At least four weeks","Young adults Adults Families Couples Older adults","German Croatian","Covered by basic insurance",6300
"2003","Praxis für Psychotherapie Rue de Lausanne 13 1700 Fribourg Switzerland Luisenstrasse 5 3005 Bern Switzerland","No date currently available","Adults Young adults","German Swiss German French English","Covered by basic insurance To be paid by yourself",1700
"2004","Cabinet de Grancy 1 Boulevard de Grancy 1006 Lausanne Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance To be paid by yourself",1006
"2005","Praxis Susanne Inglin Poststrasse 10 6300 Zug Switzerland","No date currently available","Families Teenagers Children","German English","Covered by basic insurance To be paid by yourself",6300
"2006","praxis benz Oberebenestrasse 11 5620 Bremgarten Switzerland","No date currently available","Families Teenagers Children","German French English Spanish","Covered by basic insurance",5620
"2007","Praxis für Psychotherapie Gartenstrasse 11 8002 Zürich Switzerland","No date currently available","Adults Young adults Teenagers","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8002
"2008","Studio Volta Via Volta 1 6830 Chiasso Switzerland","Two to four weeks","Adults Young adults","Italian","Covered by basic insurance To be paid by yourself",6830
"2009","Psychotherapeutische Praxis Furttal Friedhofweg 2 8112 Otelfingen Switzerland","At least four weeks","Adults Couples Teams","German","Covered by basic insurance To be paid by yourself",8112
"2010","Praxis im Sonneggschloss Praxis im Sonneggschloss Turnerstrasse 7a 8006 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Couples Families","German Swiss German","Covered by basic insurance To be paid by yourself",8006
"2011","Studio di psicoterapia Via Orico 11 6500 Bellinzona Switzerland","Less than two weeks","Teenagers Families Couples Children Adults Young adults Older adults","French Italian","Covered by basic insurance",6500
"2012","www.cabinet-esperance.ch Route de Chancy 59 Bâtiment C, 1er étage 1213 Petit-Lancy Switzerland","Less than two weeks","Older adults Adults Young adults Senior management","French Italian English","Covered by basic insurance To be paid by yourself",1213
"2013","Servizio Medico Psicologico Via Luganetto 5 6962 Viganello Switzerland","Two to four weeks","Families Teenagers Children","German Swiss German French Italian English","Covered by basic insurance",6962
"2014","Praxis Leuchtturm Döttingerstrasse 13 5303 Würenlingen Switzerland","At least four weeks","Adults Families Teenagers Children","German Italian","Covered by basic insurance To be paid by yourself",5303
"2015","färber15 | praxis für psychotherapie Färberstrasse 15 8002 Zürich Switzerland","At least four weeks","Older adults Couples Teenagers Adults Young adults","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8002
"2016","Daniel Hartenhauer c/o Kinderpraxis Wiedikon Birmensdorferstr. 198 8003 Zürich Switzerland","No date currently available","Young adults Families Teenagers Children","German Spanish","Covered by basic insurance To be paid by yourself",8003
"2017","Praxis Laulima Binzallee 23 8055 Zürich Switzerland","No date currently available","Families Teenagers Children","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8055
"2018","Praxis für psychologische Psychotherapie, Supervision und Coaching Schweizerhofstrasse 3 8750 Glarus Switzerland","At least four weeks","Older adults Adults Young adults Couples","German Swiss German French English","Covered by basic insurance To be paid by yourself",8750
"2019","Praxis für Psychotherapie und Supervision Hottingerstrasse 17 8032 Zürich Switzerland Supervision N. Merz c/o Dr. med. Hp Merz Angensteinerstrasse 6 4153 Reinach Switzerland","No date currently available","Families Teenagers Teams Adults Young adults Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",8032
"2020","Psychotherapeutische Praxis Obstgarten Obstgartenstrasse 7 8006 Zürich Switzerland Obstgartenstrasse 7 8006 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8006
"2021","WePractice, Marktgasse 58, 8400 Winterthur Föhrenstrasse 7 8442 Hettlingen Switzerland","Two to four weeks","Adults Young adults Couples Teams Senior management","German English","To be paid by yourself",8400
"2022","Studio Enrica Crameri c/o Clinica Viarnetto Via Ceresio 34B 6963 Pregassona - Lugano Switzerland","Two to four weeks","Older adults Adults Young adults","French Italian","Covered by basic insurance To be paid by yourself",6963
"2023","C.C.E.A.F Rue du Vieux Marché 4 1207 Genève Genève Switzerland","At least four weeks","Young adults Families Teenagers Children","French","Covered by basic insurance",1207
"2024","Psychologische Praxis Christine Harzheim Lorrainestrasse 32 3013 Bern Switzerland","Two to four weeks","Couples Adults Teenagers Older adults Young adults Families","German Swiss German","Partially covered by supplementary insurance To be paid by yourself",3013
"2025","HUG 1205 Genève Switzerland","No date currently available","Older adults Adults Young adults","French","Covered by basic insurance",1205
"2026","Psychotherapie Winter (Gemeinschaftspraxis ""Psychotherapie Baselland"") Baslerstrasse 96 4123 Allschwil Switzerland","No date currently available","Older adults Adults Young adults","German","Covered by basic insurance To be paid by yourself",4123
"2027","Wepractice Olgastrasse 10 8001 Zürich Switzerland","Less than two weeks","Older adults Adults Children","German Spanish","Partially covered by supplementary insurance To be paid by yourself",8001
"2028","Cabinet de psychologie et psychothérapie Avenue Perdtemps, 3 1260 Nyon Switzerland","Less than two weeks","Older adults Adults Young adults","French","Covered by basic insurance",1260
"2029","Avenue Dumas 6 1206 Chalmpel (Genève) Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Teams Groups Senior management","French","Covered by basic insurance",1206
"2030","Praxis für Psychotherapie und Rechtspsychologie GmbH Rabengasse 7 7000 Chur Switzerland","Less than two weeks","Young adults Adults Older adults Couples Families","German","Covered by basic insurance",7000
"2031","Praxis für Coaching, Beratung und Psychotherapie Schweizerhofstr. 3 8750 Glarus Switzerland Praxis für Coaching, Beratung und Psychotherapie Schindlerstig 5 8006 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teams Groups Senior management","German Swiss German English","Covered by basic insurance To be paid by yourself",8750
"2032","Rieterstrasse 59 8002 Zürich Switzerland","No date currently available","Families Teenagers Children Young adults","German English","To be paid by yourself",8002
"2033","cspsychologie Alte Landstrasse 8 8942 Oberrieden Switzerland","At least four weeks","Older adults Adults Young adults Couples Teenagers Teams Groups Senior management","German Swiss German Italian English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8942
"2034","Psychotherapie Martschitsch Breitenstrasse 20 8910 Affoltern am Albis Switzerland","No date currently available","Adults Young adults Couples","German Italian","Covered by basic insurance To be paid by yourself",8910
"2035","Fondation de Nant Route des Chenolettes 4 1660 Château d'Oex Switzerland","Two to four weeks","Adults Young adults Couples","French English","Covered by basic insurance",1660
"2036","Studio Mentina Via Golf 46 6987 Caslano Switzerland","Two to four weeks","Adults Young adults Couples","Italian","Covered by basic insurance To be paid by yourself",6987
"2037","CaPP Faubourg de l'Hôpital 77 2000 Neuchâtel Switzerland","Less than two weeks","Older adults Adults Young adults Teenagers Children","French Italian","Covered by basic insurance",2000
"2038","Psychotherapie Alessia Schmid Giessereiweg 9 3007 Bern Switzerland","At least four weeks","Young adults Families Teenagers","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3007
"2039","Valérie Milesi Rue de Genève 24 1003 Lausanne Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Children","French English","Partially covered by supplementary insurance To be paid by yourself",1003
"2040","keine Neuaufnahmen Bern Bern Switzerland","No date currently available","Adults Couples",NA,"Covered by basic insurance To be paid by yourself",NA
"2041","Epsylon Boulevard de Pérolles 26 1700 Fribourg Switzerland","At least four weeks","Adults","French","Covered by basic insurance To be paid by yourself",1700
"2042","ANCO Healthcare Chamerstrasse 174 6300 Zug Switzerland","Two to four weeks","Older adults Adults Young adults Teams Senior management","German French Italian English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6300
"2043","Le Moment Présent Avenue Général Guisan 2 3960 Sierre Switzerland","Two to four weeks","Adults Young adults Teams Groups Senior management","French","Partially covered by supplementary insurance Covered by basic insurance",3960
"2044","Praxisgemeinschaft Schlüsselberg Freie Strasse 27 Eingang Schlüsselberg 2 4001 Basel Switzerland","No date currently available","Young adults Families Teenagers Children","German English","Covered by basic insurance To be paid by yourself",4001
"2045","Weinbergstrasse 108 8006 Zürich Switzerland","At least four weeks","Children Teenagers Young adults Families Adults","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8006
"2046","Praxis für Psychotherapie Dufourstrasse 161 8008 Zürich Switzerland","No date currently available","Adults Couples Families","German","Covered by basic insurance",8008
"2047","Elias-Canetti-Strasse 7 8050 Zürich Switzerland","At least four weeks","Older adults Couples Families Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",8050
"2048","Via Massagno 20 6900 Lugano Switzerland","Less than two weeks","Older adults Adults Young adults Families Teenagers","French Italian","Covered by basic insurance To be paid by yourself",6900
"2049","Place de la Gare 4 1950 Sierre Switzerland","No date currently available","Older adults Adults Young adults","French","Covered by basic insurance",1950
"2050","Praxis für Psychotherapie Fröbelstrasse 33 8032 Zürich Switzerland","At least four weeks","Adults Young adults Teenagers","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8032
"2051","c/o Villa Argentina Corso Elvezia 24A 6900 Lugano Switzerland","No date currently available","Adults Young adults","Italian","Covered by basic insurance To be paid by yourself",6900
"2052","Rue Beau-Séjour 28 1003 Lausanne Switzerland","No date currently available","Adults Young adults","French","Partially covered by supplementary insurance",1003
"2053","Villettemattstrasse 15 3007 Bern Switzerland Pankreas Klinik Schweiz Schänzlihalde 1 3013 Bern Switzerland","No date currently available","Adults Families Couples","German Swiss German French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3007
"2054","aaeReha Schinznach aarReha Schinznach Bahnhofstrasse 5a 5116 Schinznach-Bad Switzerland","No date currently available","Older adults Adults Young adults Couples Families","German Swiss German Dutch English","Covered by basic insurance",5116
"2055","Praxis für Psychotherapie Mattenhofstrasse 5 3007 Bern Switzerland","No date currently available","Adults Young adults Couples","German","Covered by basic insurance To be paid by yourself",3007
"2056","Route de Riaz 8 1630 Bulle Switzerland","No date currently available","Young adults Families Teenagers Children","French","Partially covered by supplementary insurance",1630
"2057","Centre Psychothérapeutique Les Mouettes Chemin des Mouettes 4 1007 Lausanne Switzerland","At least four weeks","Teenagers Families Children Young adults","French English Spanish","Covered by basic insurance",1007
"2058","PSI CENTER Ruelle de la Banque 7 2502 Biel/Bienne Switzerland","Less than two weeks","Older adults Adults Young adults Teenagers Children","French English","Partially covered by supplementary insurance",2502
"2059","Bpsy Place de la gare 1 2502 Bienne Switzerland","Two to four weeks","Families Teenagers Adults Children Young adults","French","Covered by basic insurance",2502
